id;flight_date;max_weight;notes;budget;create_date;to_door_available;status
1;2023-01-10T12:54:05;45223;drive;42300;2023-01-10T04:29:04;true;Canceled
2;2023-01-10T09:09:59;85083;Account functionalities Wooden;20742;2023-01-10T16:30:28;true;Canceled
3;2023-01-10T08:53:55;15911;neural-net;51677;2023-01-10T06:03:05;true;Canceled
4;2023-01-09T18:35:21;43661;Associate virtual;93399;2023-01-10T01:24:44;true;Available
5;2023-01-10T17:07:38;70541;calculating maximize;38391;2023-01-10T10:17:53;false;FullyBooked
6;2023-01-10T06:29:40;61141;Soft installation sensor;844;2023-01-10T09:03:08;true;Canceled
7;2023-01-10T05:00:53;74610;Communications Loan;97005;2023-01-09T22:45:33;true;FullyBooked
8;2023-01-09T22:17:03;39308;Expressway;13972;2023-01-09T21:27:33;true;FullyBooked
9;2023-01-10T12:07:35;20473;Rustic;30634;2023-01-10T11:40:49;false;FullyBooked
10;2023-01-10T02:57:26;90650;incremental;59353;2023-01-09T19:03:13;true;FullyBooked
